gameName,gameUrl,contentType,discount
Legend of Spyro,https://marketplace.xbox.com/en-US/Product/66ACD000-77FE-1000-9115-D802565507F9,Xbox 360,50%
LEGO BATMAN 3: BEYOND GOTHAM,https://marketplace.xbox.com/pt-BR/Product/66ACD000-77FE-1000-9115-D80257520845,Xbox 360,75%
LEGO Harry Potter: Years 5-7,https://marketplace.xbox.com/pt-BR/Product/66ACD000-77FE-1000-9115-D80257520812,Xbox 360,75%
LEGO Jurassic World,https://marketplace.xbox.com/pt-BR/Product/66ACD000-77FE-1000-9115-D8025752084D,Xbox 360,75%
LEGO Marvel Super Heroes,https://marketplace.xbox.com/pt-BR/Product/66ACD000-77FE-1000-9115-D80257520835,Xbox 360,75%
LEGO Marvel’s Avengers,https://marketplace.xbox.com/pt-BR/Product/66ACD000-77FE-1000-9115-D8025752084F,Xbox 360,75%
LEGO Star Wars: The Force Awakens,https://marketplace.xbox.com/pt-BR/Product/66ACD000-77FE-1000-9115-D80257520851,Xbox 360,75%
METAL GEAR SOLID V: GROUND ZEROES,https://marketplace.xbox.com/pt-BR/Product/66acd000-77fe-1000-9115-d8024b4e085c,Xbox 360,40%
Metal Gear Solid V: The Phantom Pain,https://marketplace.xbox.com/pt-BR/Product/66acd000-77fe-1000-9115-d8024b4e085e,Xbox 360,75%
Metro 2033,https://marketplace.xbox.com/pt-BR/Product/66ACD000-77FE-1000-9115-D80254510842,Xbox 360,95%
Metro: Last Light,https://marketplace.xbox.com/pt-BR/Product/66ACD000-77FE-1000-9115-D8024B4D07F5,Xbox 360,95%
MicroBot,https://marketplace.xbox.com/en-US/Product/66ACD000-77FE-1000-9115-D80258410A9C,Xbox 360,90%
Middle-earth: Shadow of Mordor,https://marketplace.xbox.com/en-US/Product/66ACD000-77FE-1000-9115-D8025752082C,Xbox 360,75%
Mini Ninjas Adventures,https://marketplace.xbox.com/en-US/Product/66ACD000-77FE-1000-9115-D8025841123C,Xbox 360,85%
Mortal Kombat Arcade Kollection,https://marketplace.xbox.com/en-US/Product/66ACD000-77FE-1000-9115-D80258410B62,Xbox 360,50%
Motionsports,https://marketplace.xbox.com/pt-BR/Product/66ACD000-77FE-1000-9115-D80255530850,Xbox 360,80%
